English Term,Chinese Term
Cranes,塔机
General design,总体设计
Limit states,极限状态
Proof of competence,承载能力验证
Steel structures,钢结构
Scope,范围
Normative references,规范性引用文件
Terms and definitions,术语和定义
General,总则
Materials,材料
Structural members,结构构件
Connecting devices,连接件
Bolt connections,螺栓连接
Shear and bearing connections,抗剪和承压连接
Slip resistant connections,抗滑移连接
Connections loaded in tension,受拉连接
Pin connections,销轴连接
Welded connections,焊接连接
Proof of static strength,静强度验证
Limit design stresses,极限设计应力
Limit design forces,极限设计力
Proof of fatigue strength,疲劳强度验证
Cross section,截面
Stress area of a bolt,螺栓应力截面积
Relevant weld thickness,相关焊缝厚度
Outer diameter,外径
Inner diameter,内径
Hollow pin,空心销轴
Diameter,直径
Shank of bolt,螺栓杆部分
Hole,孔
Tensile force in bolt,螺栓拉力
Limit force,极限力
Characteristic value,特征值
Preloading force in bolt,螺栓预紧力
Limit design force,极限设计力
External force,外力
Limit design bearing force,极限设计承压力
Design bearing force,设计承压力
Design preloading force,设计预紧力
Limit design slip force,极限设计抗滑移力
Friction interface,摩擦面
Limit design tensile force,极限设计拉力
Limit design shear force,极限设计剪力
Shear plane,剪切平面
Design shear force,设计剪力
Acting normal force,作用法向力
Acting shear force,作用剪力
Limit stress,极限应力
Limit design stress,极限设计应力
Ultimate strength,极限强度
Yield point,屈服点
Nominal value,公称值
Mass of the moving crane parts,塔机运动部件的质量
Representative working cycle,典型的工作周期
Stiffness,刚度
Slope,斜率
Specific spectrum ratio factor,特定谱比系数
Stress spectrum factor,应力谱系数
Relevant weld length,相关的焊接长度
Weld length,焊接长度
Limit design bending moment,极限设计弯曲力矩
Design bending moment,设计弯曲力矩
Inverse slope,相反的斜坡
Notch class,切口类别
Extreme values of stresses,应力的极度值
Probability of survival,存活概率
Impact toughness parameter,影响韧性参数
Design resistance,设计阻力
Radius of wheel,轮的半径
Design strain,设计应变
Stress history parameter,应力历史参数
Temperature,温度
Thickness,厚度
Elastic section modulus,弹性截面摸量
Characteristic factor,特性因素
General resistance coefficient,普通阻力系数
Fatigue strength specific resistance factor,疲劳强度特定抵抗因素
Partial safety factor,部分安全因素
Resulting resistance coefficient,引起电阻系数
Specific resistance factor,特定的抵抗力因素
Dynamic factor,动力系数
Spread angle,扩展角
Width of contact area,连接部分的宽度
Elongation from preloading,预先加载的伸长
Additional force,额外的受力
Additional elongation,额外的伸长
Slip factor,滑动系数
Characteristic value of stress range,应力范围特征值
Normal stress,法向应力
Shear stress,剪切应力
Design stress,设计应力
Design weld stress,设计焊接应力
Permissible stress range,容许应力范围
Non-alloy structural steels,非合金结构钢铁
Weldable fine grain structural steels,可焊接的细晶粒结构的钢铁